lat,lng,iso2,city_ascii,admin_name
60.8042,25.7333,FI,Orimattila,Päijät-Häme
49.7986,18.4147,CZ,Sumbark,Moravskoslezský Kraj
37.7544,102.7906,CN,Hedongcun,Gansu
31.2000,-9.6500,MA,Ihaddadene,Marrakech-Safi
13.3636,-9.3875,ML,Namala Guimbala,Kayes
33.4736,36.3382,SY,Bayt Saham,Rīf Dimashq
-6.1000,39.2167,TZ,Bububu,Zanzibar Urban/West
53.1720,-3.0860,GB,Buckley,Flintshire
45.7372,4.7642,FR,Francheville,Auvergne-Rhône-Alpes
51.6460,-0.0460,GB,Ponders End,Enfield
53.5402,-2.5990,GB,Ince-in-Makerfield,Wigan
33.0722,131.8614,JP,Tsukumiura,Ōita
-13.1167,-60.5417,BR,Colorado do Oeste,Rondônia
24.7413,116.1942,CN,Wenwu,Guangdong
30.5252,-92.0816,US,Opelousas,Louisiana
41.7833,12.9167,IT,Valmontone,Lazio
34.9833,-3.3833,MA,Driouch,Oriental
26.1160,86.3550,IN,Bhit Bhagwanpur,Bihār
25.7747,87.3545,IN,Kajha,Bihār
27.4833,94.5833,IN,Dhemaji,Assam
48.4389,1.4658,FR,Luce,Centre-Val de Loire
18.3300,72.9600,IN,Murud,Mahārāshtra
-18.9625,47.5010,MG,Soavina,Antananarivo
23.9214,-106.8919,MX,La Cruz,Sinaloa
55.0333,36.7500,RU,Zhukovo,Kaluzhskaya Oblast’
39.0171,48.6431,AZ,Arkivan,Masallı
31.4567,-5.4192,MA,Tarhzout n'Ait Yazza,Drâa-Tafilalet
-13.0863,49.1041,MG,Marivorahona,Antsiranana
35.0181,133.7524,JP,Ochiai,Okayama
40.6569,-73.5285,US,Bellmore,New York
33.1300,68.7800,AF,Zarah Sharan,Paktīkā
26.2318,-98.3823,US,Palmview,Texas
16.8582,100.2291,TH,Ban Tha Pho,Phitsanulok
-17.0167,30.8500,ZW,Mvurwi,Mashonaland Central
1.6931,11.0342,GQ,Bengonbeyene,Wele-Nzas
18.8726,78.3432,IN,Balkonda,Andhra Pradesh
42.0833,20.4167,AL,Kukes,Kukës
13.7450,-15.7746,SN,Nioro du Rip,Kaolack
35.0286,109.1547,CN,Chenlu,Shaanxi
53.7014,-6.2461,IE,Baile an Bhiataigh,Meath
53.7133,-6.2792,IE,Donacarney,Meath
35.4000,134.2500,JP,Yazu,Tottori
47.5308,25.5514,RO,Campulung Moldovenesc,Suceava
34.6438,-86.0491,US,Scottsboro,Alabama
51.4800,-3.6900,GB,Porthcawl,Bridgend
20.6500,-102.8000,MX,Capilla de Guadalupe,Jalisco
11.6697,122.3269,PH,Leso,Aklan
43.7294,-98.0337,US,Mitchell,South Dakota
44.6167,11.6667,IT,Molinella,Emilia-Romagna
38.2636,101.8328,CN,Jiaojiazhuang,Gansu
38.9042,-76.8678,US,Summerfield,Maryland
8.6833,2.6000,BJ,Toui,Collines
27.4031,57.4917,IR,Manujan,Kermān
42.5816,-71.0876,US,North Reading,Massachusetts
26.2861,83.1306,IN,Rajapur,Uttar Pradesh
36.7447,49.4014,IR,Manjil,Gīlān
35.2505,136.9121,JP,Toyoyama,Aichi
36.8000,4.1500,DZ,Boudjima,Tizi Ouzou
43.1875,-2.5008,ES,Ermua,Basque Country
14.2667,-15.9500,SN,Guinguineo,Fatick
-27.0678,-53.1608,BR,Palmitos,Santa Catarina
51.4833,9.4000,DE,Hofgeismar,Hesse
16.8939,43.8022,YE,Dammaj,Şa‘dah
40.2811,-75.9544,US,Cumru,Pennsylvania
51.1177,5.2541,BE,Leopoldsburg,Flanders
47.2153,7.7889,CH,Langenthal,Bern
19.4220,-71.6150,DO,Loma de Cabrera,Cibao Noroeste
37.9333,-7.5833,PT,Serpa,Beja
8.0981,77.4640,IN,Puttalam,Tamil Nādu
32.2994,130.4931,JP,Ashikita,Kumamoto
16.9736,121.2214,PH,Mayoyao,Ifugao
47.4460,-0.4650,FR,Trelaze,Pays de la Loire
11.6000,76.3167,IN,Cheramkod,Tamil Nādu
9.3757,77.5598,IN,Solapuram,Tamil Nādu
